time,src_ip,sport,dst_ip,dport,proto,prediction,risk_level,risk_score,src_country,src_city,src_lat,src_lon,dst_country,dst_city,dst_lat,dst_lon
23:33:23,192.168.0.102,62365,142.250.67.196,443,UDP,BENIGN,Low,0,,,,,,,,
23:33:28,142.250.192.106,443,192.168.0.102,55445,UDP,Infilteration,Low,0,,,,,,,,
23:33:33,192.168.0.1,53,192.168.0.102,50570,UDP,BENIGN,Low,0,,,,,,,,
23:33:33,192.168.0.102,56399,23.64.59.50,443,TCP,BENIGN,Low,0,,,,,,,,
23:33:33,23.64.59.50,443,192.168.0.102,56399,TCP,Infilteration,Low,0,,,,,,,,
23:33:37,192.168.0.102,56300,104.18.36.252,443,TCP,BENIGN,Low,0,,,,,,,,
23:33:37,104.18.36.252,443,192.168.0.102,56300,TCP,Infilteration,Low,0,,,,,,,,
23:33:43,192.168.0.102,55445,142.250.192.106,443,UDP,BENIGN,Low,0,,,,,,,,
23:33:43,142.250.192.106,443,192.168.0.102,55445,UDP,Infilteration,Low,0,,,,,,,,
23:50:51,192.168.0.102,56300,104.18.36.252,443,TCP,BENIGN,Low,0,,,,,,,,
23:50:51,104.18.36.252,443,192.168.0.102,56300,TCP,Infilteration,Low,0,,,,,,,,
23:50:52,192.168.0.102,55445,142.250.192.106,443,UDP,BENIGN,Low,0,,,,,,,,
23:51:06,192.168.0.102,56300,104.18.36.252,443,TCP,BENIGN,Low,0,,,,,,,,
23:51:13,192.168.0.102,57058,142.250.77.99,443,TCP,BENIGN,Low,0,,,,,,,,
23:51:13,142.250.77.99,443,192.168.0.102,57058,TCP,Infilteration,Low,0,,,,,,,,
23:51:21,192.168.0.102,56300,104.18.36.252,443,TCP,BENIGN,Low,0,,,,,,,,
23:51:21,104.18.36.252,443,192.168.0.102,56300,TCP,Infilteration,Low,0,,,,,,,,
23:51:22,142.250.192.106,443,192.168.0.102,55445,UDP,Infilteration,Low,0,,,,,,,,
23:51:22,192.168.0.102,55445,142.250.192.106,443,UDP,BENIGN,Low,0,,,,,,,,
23:51:30,142.250.67.196,443,192.168.0.102,52350,UDP,Infilteration,Low,0,,,,,,,,
23:51:31,192.168.0.102,57058,142.250.77.99,443,TCP,BENIGN,Low,0,,,,,,,,
23:51:31,192.168.0.102,58911,192.168.0.1,53,UDP,BENIGN,Low,0,,,,,,,,
23:51:31,192.168.0.1,53,192.168.0.102,50593,UDP,BENIGN,Low,0,,,,,,,,
23:51:31,192.168.0.102,61123,142.250.77.99,443,UDP,BENIGN,Low,0,,,,,,,,
23:51:31,192.168.0.102,53948,4.213.25.241,443,TCP,BENIGN,Low,0,,,,,,,,
23:51:31,142.250.77.99,443,192.168.0.102,57058,TCP,Infilteration,Low,0,,,,,,,,
23:51:31,142.250.77.99,443,192.168.0.102,61123,UDP,Infilteration,Low,0,,,,,,,,
23:51:31,4.213.25.241,443,192.168.0.102,53948,TCP,Infilteration,Low,0,,,,,,,,
23:51:36,104.18.36.252,443,192.168.0.102,56300,TCP,Infilteration,Low,0,,,,,,,,
23:51:37,192.168.0.102,55445,142.250.192.106,443,UDP,BENIGN,Low,0,,,,,,,,
23:51:38,192.168.0.102,57089,13.52.88.154,443,TCP,BENIGN,Low,0,,,,,,,,
23:51:38,13.52.88.154,443,192.168.0.102,57089,TCP,Infilteration,Low,0,,,,,,,,
23:51:40,57.144.169.33,80,192.168.0.102,55149,TCP,Infilteration,Low,0,,,,,,,,
23:51:40,192.168.0.102,55149,57.144.169.33,80,TCP,BENIGN,Low,0,,,,,,,,
00:07:30,192.168.0.102,55445,142.250.192.106,443,UDP,ZERONET,Low,0,,,,,,,,
00:07:30,192.168.0.102,55149,57.144.169.33,80,TCP,FREENET,Low,0,,,,,,,,
00:07:30,192.168.0.102,53851,192.168.0.1,53,UDP,FREENET,Low,0,,,,,,,,
00:07:30,192.168.0.1,53,192.168.0.102,53851,UDP,VPN,Low,0,,,,,,,,
